id,y_pred
0,861.75446
1,193.85197
2,72.70753
3,186.62483
4,158.21881
5,91.28268
6,77.56182
7,119.45515
8,172.33795
9,65.2786
10,549.52405
11,112.93377
12,176.32771
13,76.89962
14,113.113914
15,159.95992
16,204.77454
17,66.86627
18,43.573734
19,293.31454
20,103.115265
21,235.10448
22,203.65952
23,118.2789
24,307.42978
25,143.90488
26,73.16682
27,215.62036
28,328.79788
29,49.40118
30,407.1259
31,113.357216
32,123.517265
33,163.16936
34,212.8236
35,202.8111
36,261.07904
37,136.87236
38,274.79364
39,245.5326
40,348.85904
41,140.88292
42,151.59805
43,106.08808
44,236.32948
45,9.4624815
46,75.043175
47,185.60342
48,270.9125
49,373.19446
50,54.504395
51,169.18332
52,114.418564
53,153.83217
54,212.039
55,273.84186
56,44.57
57,1255.6187
58,84.000786
59,152.39935
60,207.16615
61,414.1493
62,101.48744
63,108.279785
64,337.31442
65,179.94783
66,150.10211
67,182.21016
68,158.47313
69,111.61982
70,145.25021
71,236.2913
72,262.7712
73,137.99294
74,43.389996
75,146.06989
76,419.1094
77,74.25177
78,141.5021
79,182.83078
80,278.5705
81,270.10934
82,254.21404
83,106.545135
84,267.24548
85,166.54303
86,284.77612
87,41.853832
88,329.40515
89,147.09862
90,60.323174
91,342.81915
92,86.61562
93,294.17145
94,91.64308
95,130.98544
96,571.00214
97,90.59201
98,36.35394
99,158.02013
100,170.50706
101,155.05994
102,180.08162
103,121.69568
104,95.975105
105,86.95298
106,895.7372
107,229.52756
108,649.37335
109,302.2256
110,183.34454
111,304.22714
112,300.33115
113,53.494965
114,101.55345
115,118.4296
116,309.24683
117,168.04951
118,239.15753
119,-12.270368
120,132.31538
121,37.930107
122,72.988884
123,156.89961
124,146.96472
125,53.26161
126,343.92523
127,184.52943
128,151.27168
129,276.74307
130,260.24002
131,102.89013
132,215.92729
133,220.15674
134,170.92226
135,97.85368
136,87.40068
137,191.66023
138,203.32486
139,364.2266
140,334.0939
141,195.01216
142,133.77835
143,655.8957
144,113.02123
145,260.67764
146,507.14603
147,424.2341
148,86.283295
149,98.602486
150,251.61113
151,256.50534
152,969.42
153,202.11932
154,90.18342
155,3231.8994
156,348.94385
157,130.47223
158,158.50163
159,357.01422
160,106.44489
161,208.99619
162,188.00923
163,163.92262
164,268.1581
165,200.55347
166,786.38556
167,168.66426
168,254.61467
169,194.12321
170,43.14546
171,153.71739
172,210.88773
173,136.72813
174,59.86075
175,250.05731
176,243.92319
177,108.18085
178,255.9219
179,192.34042
180,252.33105
181,75.986084
182,63.36582
183,240.09695
184,77.306595
185,165.75975
186,33.473476
187,161.96631
188,65.07034
189,177.21114
190,227.20297
191,58.60608
192,428.10376
193,145.31606
194,141.99861
195,66.387
196,-36.896217
197,185.4132
198,365.3394
199,219.09814
200,199.5588
201,162.36147
202,149.64105
203,128.12674
204,208.24055
205,219.60315
206,119.95707
207,41.170086
208,2987.1038
209,210.53934
210,194.52031
211,85.98933
212,81.24112
213,820.6092
214,201.7875
215,86.533875
216,263.4522
217,145.73161
218,98.520454
219,196.98178
220,231.0427
221,379.10965
222,220.39297
223,48.85323
224,272.87595
225,313.40356
226,248.02782
227,257.3404
228,235.58264
229,586.39844
230,162.46246
231,60.752075
232,197.5546
233,137.59056
234,228.7313
235,-45.73459
236,161.51575
237,212.55414
238,291.3126
239,166.82182
240,243.98032
241,242.90633
242,175.45811
243,670.7733
244,193.04044
245,75.73334
246,371.55188
247,39.887875
248,142.95067
249,142.9838
250,142.82791
251,65.077866
252,164.69017
253,54.3569
254,158.71643
255,169.32231
256,35.987396
257,60.647533
258,50.28931
259,186.77507
260,715.5447
261,117.14359
262,209.83295
263,1511.6321
264,174.72472
265,346.1921
266,252.77505
267,301.437
268,210.65463
269,222.73117
270,279.45474
271,117.147255
272,164.3375
273,170.42906
274,511.30325
275,312.45883
276,115.809525
277,235.3603
278,303.73444
279,64.97824
280,55.09625
281,103.91705
282,245.1147
283,72.98589
284,105.358
285,137.75426
286,131.72095
287,89.71397
288,201.86188
289,281.3666
290,240.57318
291,182.77934
292,170.16162
293,147.76762
294,691.6792
295,197.81926
296,114.09795
297,181.33647
298,87.68784
299,78.00312
300,126.52422
301,139.9863
302,324.55426
303,269.88336
304,38.667736
305,158.61975
306,87.92483
307,167.06494
308,341.88193
309,70.27542
310,530.69104
311,150.39333
312,285.41556
313,235.97409
314,169.54857
315,172.02402
316,132.88393
317,269.97983
318,243.69817
319,196.13402
320,348.63446
321,117.29511
322,25.704126
323,241.02936
324,64.07517
325,124.54112
326,349.96896
327,174.71432
328,266.0044
329,287.9486
330,183.09247
331,120.80383
332,400.63766
333,169.00148
334,38.04474
335,105.945755
336,201.90082
337,-49.829723
338,159.39342
339,548.0092
